# Time-averaged data for fix 4
# TimeStep v_myPxx v_myPyy v_myPzz v_myPxy v_myPxz v_myPyz
1726000 -108.451 -111.301 -40.1904 -66.483 11.0128 -5.05543
1727000 -42.0245 36.9353 -93.3485 -33.249 26.7977 82.925
1728000 53.3608 -106.336 -165.66 6.96358 7.84522 -15.4358
1729000 -88.3035 -138.204 -240.184 -108.14 72.3898 111.511
1730000 -118.427 -124.399 -27.3436 13.5348 2.74864 25.2869
1731000 -91.916 -212.353 -134.42 -70.5082 -20.3789 31.8424
1732000 4.80946 -43.6332 21.5644 -81.8877 30.8318 23.4884
1733000 23.0778 -107.118 -157.845 5.10148 -10.1452 90.2365
1734000 -63.9228 -90.5012 -181.893 -45.3851 -7.79165 -33.5584
1735000 -64.9878 -109.523 44.5531 -22.5236 -85.8125 4.08651
1736000 11.0602 -69.354 30.3576 -62.4276 -53.7057 42.7189
1737000 -90.6499 -57.8788 -75.0433 -11.6806 -16.5293 -18.5663
1738000 79.514 -94.3496 -71.1353 -26.0663 38.6239 -5.71588
1739000 36.0515 -6.55897 -88.7899 -117.305 23.1948 2.43616
1740000 -103.439 -152.154 -221.895 -7.82442 54.5144 31.6654
1741000 -140.022 -113.859 3.94531 -23.4632 41.8658 21.8144
1742000 37.9033 -121.664 -3.89732 -42.8983 78.3653 -7.87824
1743000 -186.214 -253.622 2.38429 -71.214 -71.9619 -31.9199
1744000 -221.817 -242.438 -140.878 -10.6893 45.1084 -12.9949
1745000 -268.245 -333.833 -119.195 -25.8137 -54.5965 58.363
1746000 -56.9153 -196.151 -89.0341 87.7919 -25.7232 16.2602
1747000 -130.413 -216.282 -100.963 -46.9518 -45.2235 0.590267
1748000 -4.22924 -152.829 -186.32 -49.5785 6.77487 9.13755
1749000 -26.142 -33.7155 -77.64 -68.65 -21.8342 -17.0088
1750000 13.0851 -69.3921 2.81981 11.3517 -19.3124 24.0437
1751000 -146.152 -123.956 56.8296 51.901 11.9935 63.446
1752000 -67.0137 -77.3084 -90.7388 -63.1106 45.9159 -15.6991
1753000 24.4675 -67.425 -106.437 -37.8279 31.7324 9.25907
1754000 -76.9662 -121.209 -33.1067 -91.7334 -25.5737 -43.0642
1755000 -158.868 -212.571 -266.375 -53.8385 67.8708 -52.3185
1756000 -252.251 -178.505 -54.9818 -68.3393 49.692 84.5343
1757000 -220.878 -169.044 -181.681 -106.034 48.5793 -12.2525
